"","entity","dt_rstr","date_1","date_2","ash_nly","exst_rm","stem","dbh_in","mantnnc","lnd_typ","disease","conditn","dbh_chr","givn_nm","genus_p","genus","epithet","remove","COCTU_I","COCTU_C","COCTU_D","CO_CODE","CO_NAME","CTU_ID","CTU_ID_","CTU_COD","CTU_NAM","COMCD_C","Shp_Lng","Shap_Ar","STATEFP","COUNTYF","TRACTCE","GEOID","NAME","NAMELSA","MTFCC","FUNCSTA","ALAND","AWATER","INTPTLA","INTPTLO","trs_lnd","lnd_cvr","lnd_cv_"
"209407","Minneapolis",0,NA,NA,0,NA,NA,24,NA,"Street Tree (Boulevard)",NA,"Fair / Generally Healthy",NA,"Acer saccharinum","Acer saccharinum","Acer","saccharinum","N","05302395345","05343000","Minneapolis","053","Hennepin",2395345,"02395345","43000","Minneapolis",53135,61855.6521444,148630870.819,"27","053","111500","27053111500","1115","Census Tract 1115","G5020","S",2187487,0,"+44.9068451","-093.2815727",9,"street","street"
"192650","Minneapolis",0,NA,NA,0,NA,NA,3,NA,"Street Tree (Boulevard)",NA,"Good / Healthy and Vigorous",NA,"Robinia pseudoacacia","Robinia pseudoacacia","Robinia","pseudoacacia","N","05302395345","05343000","Minneapolis","053","Hennepin",2395345,"02395345","43000","Minneapolis",53135,61855.6521444,148630870.819,"27","053","003801","27053003801","38.01","Census Tract 38.01","G5020","S",543327,75618,"+44.9845732","-093.2444106",9,"street","street"
"542090","StPaul",0,NA,NA,0,NA,NA,12,NA,"Boulevard/Street",NA,"Good",NA,"Acer platanoides","Acer platanoides","Acer","platanoides","N","12302396511","12358000","St. Paul","123","Ramsey",2396511,"02396511","58000","St. Paul",123070,60764.1601023,144986744.519,"27","123","031701","27123031701","317.01","Census Tract 317.01","G5020","S",868150,0,"+44.9658343","-093.0519867",9,"street","street"
"372411","Plymouth",0,NA,NA,0,NA,NA,7,NA,"KLUCK STEPHEN J",NA,NA,NA,"Fraxinus pennsylvanica","Fraxinus pennsylvanica","Fraxinus","pennsylvanica","N","05302396242","05351730","Plymouth","053","Hennepin",2396242,"02396242","51730","Plymouth",53180,44381.9685344,91378642.0497,"27","053","026516","27053026516","265.16","Census Tract 265.16","G5020","S",4097129,3594558,"+45.0125416","-093.4155278",9,"street","street"
"597614","WestStPaul",0,NA,NA,0,NA,NA,9,NA,NA,NA,"3",NA,"mpam","Acer ginnala","Acer","ginnala","N","03702397275","03769700","West St. Paul","037","Dakota",2397275,"02397275","69700","West St. Paul",37180,15116.5558187,12957936.8449,"27","037","060103","27037060103","601.03","Census Tract 601.03","G5020","S",2257503,86884,"+44.8993733","-093.1035078",9,"street","street"
"520111","StPaul",0,NA,NA,0,NA,NA,8,NA,"Boulevard/Street",NA,"Fair",NA,"Tilia cordata","Tilia cordata","Tilia","cordata","N","12302396511","12358000","St. Paul","123","Ramsey",2396511,"02396511","58000","St. Paul",123070,60764.1601023,144986744.519,"27","123","037100","27123037100","371","Census Tract 371","G5020","S",2307680,210008,"+44.9334865","-093.0921746",9,"street","street"
"416899","Stillwater",0,NA,NA,0,NA,NA,4,NA,NA,NA,"5",NA,"hackberry","Celtis occidentalis","Celtis","occidentalis","N","16302395969","16362824","Stillwater","163","Washington",2395969,"02395969","62824","Stillwater",163170,27855.5974316,23690140.1654,"27","163","070404","27163070404","704.04","Census Tract 704.04","G5020","S",39786434,3271871,"+45.0997489","-092.8227705",9,"street","street"
"130152","Minneapolis",0,NA,NA,0,NA,NA,6,NA,"Street Tree (Boulevard)",NA,"Good / Healthy and Vigorous",NA,"Acer saccharum","Acer saccharum","Acer","saccharum","N","05302395345","05343000","Minneapolis","053","Hennepin",2395345,"02395345","43000","Minneapolis",53135,61855.6521444,148630870.819,"27","053","106500","27053106500","1065","Census Tract 1065","G5020","S",2669354,1185237,"+44.9571300","-093.3154949",9,"street","street"
"442590","StPaul",0,NA,NA,0,NA,NA,2,NA,"Boulevard/Street",NA,"Good",NA,"Celtis occidentalis","Celtis occidentalis","Celtis","occidentalis","N","12302396511","12358000","St. Paul","123","Ramsey",2396511,"02396511","58000","St. Paul",123070,60764.1601023,144986744.519,"27","123","032400","27123032400","324","Census Tract 324","G5020","S",1083394,0,"+44.9633349","-093.1368803",9,"street","street"
"621249","Woodbury",0,NA,NA,0,NA,NA,NA,NA,NA,NA,"4",NA,"Fraxinus pennsylvanica","Fraxinus pennsylvanica","Fraxinus","pennsylvanica","N","16302397369","16371428","Woodbury","163","Washington",2397369,"02397369","71428","Woodbury",163191,40908.9526087,92482850.5268,"27","163","071001","27163071001","710.01","Census Tract 710.01","G5020","S",5181204,400148,"+44.9380193","-092.9705620",5,"commercial","other"
"265007","Minneapolis",0,NA,NA,0,NA,NA,6,NA,"Parkland/Golf Course",NA,"Good / Healthy and Vigorous",NA,"Acer saccharum","Acer saccharum","Acer","saccharum","N","05302394924","05324308","Golden Valley","053","Hennepin",2394924,"02394924","24308","Golden Valley",53070,24214.4968886,27303424.207,"27","053","021800","27053021800","218","Census Tract 218","G5020","S",3853676,233386,"+44.9793014","-093.3329089",4,"rec_parkland","rec_parkland"
"427352","StLouisPark",0,NA,NA,0,NA,NA,0,NA,"BLVD",NA,NA,NA,"American Elm","Ulmus americana","Ulmus","americana","N","05302396500","05357220","St. Louis Park","053","Hennepin",2396500,"02396500","57220","St. Louis Park",53215,27156.0066054,27973479.5013,"27","053","122500","27053122500","1225","Census Tract 1225","G5020","S",1863743,26238,"+44.9430151","-093.3744773",9,"street","street"
"462151","StPaul",0,NA,NA,0,NA,NA,4,NA,"Boulevard/Street",NA,"Good",NA,"Quercus macrocarpa","Quercus macrocarpa","Quercus","macrocarpa","N","12302396511","12358000","St. Paul","123","Ramsey",2396511,"02396511","58000","St. Paul",123070,60764.1601023,144986744.519,"27","123","032000","27123032000","320","Census Tract 320","G5020","S",990631,0,"+44.9627325","-093.1754780",9,"street","street"
"10000","AppleValley",0,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,"TI","Tilia spp.","Tilia","spp.","N","03702393967","03701900","Apple Valley","037","Dakota",2393967,"02393967","01900","Apple Valley",37002,27901.6911122,45247136.8628,"27","037","060806","27037060806","608.06","Census Tract 608.06","G5020","S",5328792,54168,"+44.7579782","-093.2317820",9,"street","street"
"20279","BrooklynPark",0,NA,NA,0,"Existing",NA,18,NA,"PR-ROW",NA,"0",NA,"Oak","Quercus spp.","Quercus","spp.","N","05302393429","05307966","Brooklyn Park","053","Hennepin",2393429,"02393429","07966","Brooklyn Park",53015,41813.9033965,68703594.6959,"27","053","026807","27053026807","268.07","Census Tract 268.07","G5020","S",8284060,81807,"+45.0846912","-093.3890847",9,"street","street"
"615792","Woodbury",0,NA,NA,0,NA,NA,NA,NA,NA,NA,"5",NA,"Acer saccharinum","Acer saccharinum","Acer","saccharinum","N","16302397369","16371428","Woodbury","163","Washington",2397369,"02397369","71428","Woodbury",163191,40908.9526087,92482850.5268,"27","163","071020","27163071020","710.20","Census Tract 710.20","G5020","S",6724554,70538,"+44.9308715","-092.8679568",9,"street","street"
"40449","Chanhassen",0,NA,NA,0,NA,NA,NA,NA,"Street",NA,"Excellent","17"" - 24""","Cottonwood","Populus spp.","Populus","spp.","N","01902393799","01910918","Chanhassen (Carver Co. part)","019","Carver",2393799,"02393799","10918","Chanhassen",19030,40960.9915008,58434330.3828,"27","019","090501","27019090501","905.01","Census Tract 905.01","G5020","S",6128728,2765572,"+44.8852854","-093.5921222",9,"street","street"
"23486","BrooklynPark",0,NA,NA,0,"Existing",NA,6,NA,"PR-ROW",NA,"0",NA,"Maple","Acer spp.","Acer","spp.","N","05302393429","05307966","Brooklyn Park","053","Hennepin",2393429,"02393429","07966","Brooklyn Park",53015,41813.9033965,68703594.6959,"27","053","026822","27053026822","268.22","Census Tract 268.22","G5020","S",4792314,149054,"+45.1157688","-093.3148554",9,"street","street"
